DataYear,CircuitCook88,Indic_Number,Indic_Desc,Caseloads
2005,1,30,Felony Probation Caseloads,1178
2005,1,31,Misdemeanor Probation Caseloads,696
2005,1,32,DUI Probation Caseloads,963
2005,2,30,Felony Probation Caseloads,1240
2005,2,31,Misdemeanor Probation Caseloads,911
2005,2,32,DUI Probation Caseloads,258
2005,3,30,Felony Probation Caseloads,1449
2005,3,31,Misdemeanor Probation Caseloads,385
2005,3,32,DUI Probation Caseloads,247
2005,4,30,Felony Probation Caseloads,1199
2005,4,31,Misdemeanor Probation Caseloads,1244
2005,4,32,DUI Probation Caseloads,884
2005,5,30,Felony Probation Caseloads,1437
2005,5,31,Misdemeanor Probation Caseloads,456
2005,5,32,DUI Probation Caseloads,211
2005,6,30,Felony Probation Caseloads,1682
2005,6,31,Misdemeanor Probation Caseloads,819
2005,6,32,DUI Probation Caseloads,359
2005,7,30,Felony Probation Caseloads,1206
2005,7,31,Misdemeanor Probation Caseloads,802
2005,7,32,DUI Probation Caseloads,348
2005,8,30,Felony Probation Caseloads,690
2005,8,31,Misdemeanor Probation Caseloads,698
2005,8,32,DUI Probation Caseloads,233
2005,9,30,Felony Probation Caseloads,483
2005,9,31,Misdemeanor Probation Caseloads,134
2005,9,32,DUI Probation Caseloads,37
2005,10,30,Felony Probation Caseloads,1558
2005,10,31,Misdemeanor Probation Caseloads,697
2005,10,32,DUI Probation Caseloads,40
2005,11,30,Felony Probation Caseloads,1310
2005,11,31,Misdemeanor Probation Caseloads,821
2005,11,32,DUI Probation Caseloads,320
2005,12,30,Felony Probation Caseloads,1241
2005,12,31,Misdemeanor Probation Caseloads,113
2005,12,32,DUI Probation Caseloads,111
2005,13,30,Felony Probation Caseloads,762
2005,13,31,Misdemeanor Probation Caseloads,200
2005,13,32,DUI Probation Caseloads,23
2005,14,30,Felony Probation Caseloads,1336
2005,14,31,Misdemeanor Probation Caseloads,464
2005,14,32,DUI Probation Caseloads,1399
2005,15,30,Felony Probation Caseloads,911
2005,15,31,Misdemeanor Probation Caseloads,656
2005,15,32,DUI Probation Caseloads,217
2005,16,30,Felony Probation Caseloads,1143
2005,16,31,Misdemeanor Probation Caseloads,497
2005,16,32,DUI Probation Caseloads,649
2005,17,30,Felony Probation Caseloads,2072
2005,17,31,Misdemeanor Probation Caseloads,1517
2005,17,32,DUI Probation Caseloads,1420
2005,18,30,Felony Probation Caseloads,2047
2005,18,31,Misdemeanor Probation Caseloads,729
2005,18,32,DUI Probation Caseloads,514
2005,19,30,Felony Probation Caseloads,1823
2005,19,31,Misdemeanor Probation Caseloads,995
2005,19,32,DUI Probation Caseloads,564
2005,20,30,Felony Probation Caseloads,1482
2005,20,31,Misdemeanor Probation Caseloads,294
2005,20,32,DUI Probation Caseloads,63
2005,21,30,Felony Probation Caseloads,638
2005,21,31,Misdemeanor Probation Caseloads,222
2005,21,32,DUI Probation Caseloads,1
2005,22,30,Felony Probation Caseloads,376
2005,22,31,Misdemeanor Probation Caseloads,153
2005,22,32,DUI Probation Caseloads,28
2005,23,30,Felony Probation Caseloads,548
2005,23,31,Misdemeanor Probation Caseloads,321
2005,23,32,DUI Probation Caseloads,62
2005,88,30,Felony Probation Caseloads,20743
2005,88,31,Misdemeanor Probation Caseloads,9909
2005,88,32,DUI Probation Caseloads,7185
2006,1,30,Felony Probation Caseloads,1197
2006,1,31,Misdemeanor Probation Caseloads,751
2006,1,32,DUI Probation Caseloads,937
2006,2,30,Felony Probation Caseloads,1202
2006,2,31,Misdemeanor Probation Caseloads,984
2006,2,32,DUI Probation Caseloads,239
2006,3,30,Felony Probation Caseloads,1442
2006,3,31,Misdemeanor Probation Caseloads,299
2006,3,32,DUI Probation Caseloads,229
2006,4,30,Felony Probation Caseloads,1287
2006,4,31,Misdemeanor Probation Caseloads,1237
2006,4,32,DUI Probation Caseloads,890
2006,5,30,Felony Probation Caseloads,1807
2006,5,31,Misdemeanor Probation Caseloads,557
2006,5,32,DUI Probation Caseloads,231
2006,6,30,Felony Probation Caseloads,1867
2006,6,31,Misdemeanor Probation Caseloads,723
2006,6,32,DUI Probation Caseloads,378
2006,7,30,Felony Probation Caseloads,1238
2006,7,31,Misdemeanor Probation Caseloads,863
2006,7,32,DUI Probation Caseloads,364
2006,8,30,Felony Probation Caseloads,806
2006,8,31,Misdemeanor Probation Caseloads,813
2006,8,32,DUI Probation Caseloads,283
2006,9,30,Felony Probation Caseloads,555
2006,9,31,Misdemeanor Probation Caseloads,160
2006,9,32,DUI Probation Caseloads,53
2006,10,30,Felony Probation Caseloads,1616
2006,10,31,Misdemeanor Probation Caseloads,638
2006,10,32,DUI Probation Caseloads,110
2006,11,30,Felony Probation Caseloads,1263
2006,11,31,Misdemeanor Probation Caseloads,585
2006,11,32,DUI Probation Caseloads,190
2006,12,30,Felony Probation Caseloads,1308
2006,12,31,Misdemeanor Probation Caseloads,101
2006,12,32,DUI Probation Caseloads,150
2006,13,30,Felony Probation Caseloads,725
2006,13,31,Misdemeanor Probation Caseloads,165
2006,13,32,DUI Probation Caseloads,26
2006,14,30,Felony Probation Caseloads,1272
2006,14,31,Misdemeanor Probation Caseloads,481
2006,14,32,DUI Probation Caseloads,1437
2006,15,30,Felony Probation Caseloads,845
2006,15,31,Misdemeanor Probation Caseloads,525
2006,15,32,DUI Probation Caseloads,196
2006,16,30,Felony Probation Caseloads,1505
2006,16,31,Misdemeanor Probation Caseloads,382
2006,16,32,DUI Probation Caseloads,126
2006,17,30,Felony Probation Caseloads,2300
2006,17,31,Misdemeanor Probation Caseloads,1719
2006,17,32,DUI Probation Caseloads,1592
2006,18,30,Felony Probation Caseloads,2031
2006,18,31,Misdemeanor Probation Caseloads,802
2006,18,32,DUI Probation Caseloads,685
2006,19,30,Felony Probation Caseloads,1973
2006,19,31,Misdemeanor Probation Caseloads,872
2006,19,32,DUI Probation Caseloads,535
2006,20,30,Felony Probation Caseloads,1732
2006,20,31,Misdemeanor Probation Caseloads,292
2006,20,32,DUI Probation Caseloads,86
2006,21,30,Felony Probation Caseloads,662
2006,21,31,Misdemeanor Probation Caseloads,203
2006,21,32,DUI Probation Caseloads,0
2006,22,30,Felony Probation Caseloads,403
2006,22,31,Misdemeanor Probation Caseloads,118
2006,22,32,DUI Probation Caseloads,30
2006,23,30,Felony Probation Caseloads,549
2006,23,31,Misdemeanor Probation Caseloads,307
2006,23,32,DUI Probation Caseloads,54
2006,88,30,Felony Probation Caseloads,20112
2006,88,31,Misdemeanor Probation Caseloads,10142
2006,88,32,DUI Probation Caseloads,9210
2007,1,30,Felony Probation Caseloads,1250
2007,1,31,Misdemeanor Probation Caseloads,946
2007,1,32,DUI Probation Caseloads,933
2007,2,30,Felony Probation Caseloads,1169
2007,2,31,Misdemeanor Probation Caseloads,922
2007,2,32,DUI Probation Caseloads,271
2007,3,30,Felony Probation Caseloads,1543
2007,3,31,Misdemeanor Probation Caseloads,272
2007,3,32,DUI Probation Caseloads,249
2007,4,30,Felony Probation Caseloads,1247
2007,4,31,Misdemeanor Probation Caseloads,1222
2007,4,32,DUI Probation Caseloads,1013
2007,5,30,Felony Probation Caseloads,1878
2007,5,31,Misdemeanor Probation Caseloads,646
2007,5,32,DUI Probation Caseloads,247
2007,6,30,Felony Probation Caseloads,2193
2007,6,31,Misdemeanor Probation Caseloads,839
2007,6,32,DUI Probation Caseloads,468
2007,7,30,Felony Probation Caseloads,1251
2007,7,31,Misdemeanor Probation Caseloads,791
2007,7,32,DUI Probation Caseloads,299
2007,8,30,Felony Probation Caseloads,921
2007,8,31,Misdemeanor Probation Caseloads,538
2007,8,32,DUI Probation Caseloads,391
2007,9,30,Felony Probation Caseloads,632
2007,9,31,Misdemeanor Probation Caseloads,212
2007,9,32,DUI Probation Caseloads,58
2007,10,30,Felony Probation Caseloads,1756
2007,10,31,Misdemeanor Probation Caseloads,677
2007,10,32,DUI Probation Caseloads,136
2007,11,30,Felony Probation Caseloads,1200
2007,11,31,Misdemeanor Probation Caseloads,576
2007,11,32,DUI Probation Caseloads,230
2007,12,30,Felony Probation Caseloads,1303
2007,12,31,Misdemeanor Probation Caseloads,140
2007,12,32,DUI Probation Caseloads,185
2007,13,30,Felony Probation Caseloads,743
2007,13,31,Misdemeanor Probation Caseloads,150
2007,13,32,DUI Probation Caseloads,32
2007,14,30,Felony Probation Caseloads,1307
2007,14,31,Misdemeanor Probation Caseloads,512
2007,14,32,DUI Probation Caseloads,1611
2007,15,30,Felony Probation Caseloads,853
2007,15,31,Misdemeanor Probation Caseloads,543
2007,15,32,DUI Probation Caseloads,180
2007,16,30,Felony Probation Caseloads,1598
2007,16,31,Misdemeanor Probation Caseloads,415
2007,16,32,DUI Probation Caseloads,126
2007,17,30,Felony Probation Caseloads,2121
2007,17,31,Misdemeanor Probation Caseloads,1461
2007,17,32,DUI Probation Caseloads,1810
2007,18,30,Felony Probation Caseloads,2143
2007,18,31,Misdemeanor Probation Caseloads,770
2007,18,32,DUI Probation Caseloads,707
2007,19,30,Felony Probation Caseloads,1997
2007,19,31,Misdemeanor Probation Caseloads,925
2007,19,32,DUI Probation Caseloads,59
2007,20,30,Felony Probation Caseloads,1749
2007,20,31,Misdemeanor Probation Caseloads,293
2007,20,32,DUI Probation Caseloads,84
2007,21,30,Felony Probation Caseloads,660
2007,21,31,Misdemeanor Probation Caseloads,192
2007,21,32,DUI Probation Caseloads,0
2007,22,30,Felony Probation Caseloads,412
2007,22,31,Misdemeanor Probation Caseloads,116
2007,22,32,DUI Probation Caseloads,43
2007,23,30,Felony Probation Caseloads,601
2007,23,31,Misdemeanor Probation Caseloads,309
2007,23,32,DUI Probation Caseloads,61
2007,88,30,Felony Probation Caseloads,18461
2007,88,31,Misdemeanor Probation Caseloads,10668
2007,88,32,DUI Probation Caseloads,9599
2008,1,30,Felony Probation Caseloads,1463
2008,1,31,Misdemeanor Probation Caseloads,663
2008,1,32,DUI Probation Caseloads,888
2008,2,30,Felony Probation Caseloads,1103
2008,2,31,Misdemeanor Probation Caseloads,714
2008,2,32,DUI Probation Caseloads,231
2008,3,30,Felony Probation Caseloads,1556
2008,3,31,Misdemeanor Probation Caseloads,269
2008,3,32,DUI Probation Caseloads,269
