ArrYrMo,NumFelArrests
200107,8669
200108,9443
200109,8689
200110,9487
200111,8743
200112,8222
200201,9169
200202,8508
200203,8846
200204,8885
200205,9140
200206,8341
200207,9122
200208,9602
200209,8711
200210,9023
200211,8269
200212,8087
200301,8779
200302,7607
200303,8419
200304,8487
200305,8396
200306,8330
200307,8855
200308,9575
200309,9539
200310,10241
200311,9010
200312,8015
200401,8877
200402,8367
200403,9343
200404,9054
200405,8630
200406,7555
200407,8987
200408,9633
200409,9654
200410,9378
200411,8646
200412,8799
200501,8900
200502,8826
200503,9777
200504,9610
200505,9934
200506,9416
200507,9898
200508,10366
200509,10115
200510,9659
200511,9522
200512,9213
200601,9970
200602,8944
200603,9788
200604,9630
200605,10335
200606,9494
200607,10433
200608,11234
200609,9262
200610,10172
200611,9655
200612,9385
200701,10024
200702,8127
200703,10191
200704,9637
200705,9775
200706,9639
200707,9712
200708,9882
200709,9414
200710,9394
200711,8775
200712,7969
200801,8769
200802,7816
200803,8984
200804,9079
200805,9345
200806,9133
200807,9811
200808,9923
200809,9255
200810,9494
200811,8397
200812,7354
200901,8327
200902,7933
200903,9054
200904,8756
200905,8873
200906,8900
200907,9405
200908,9246
200909,9292
200910,8952
200911,8533
200912,7924
201001,8094
201002,7691
201003,8852
201004,8266
201005,8320
201006,8147
201007,8322
201008,8480
201009,8267
201010,8006
201011,7239
201012,6770
201101,7542
201102,6423
201103,8101
201104,7745
201105,8062
201106,8259
201107,8353
201108,8923
201109,8348
201110,8170
201111,7717
201112,7577
201201,7784
201202,7576
201203,8098
201204,7466
201205,8048
201206,8000
201207,8304
201208,8941
201209,8271
201210,8197
201211,7678
201212,7130
201301,7921
201302,7145
201303,7963
201304,7767
201305,8537
201306,7928
201307,8338
201308,8832
201309,8101
201310,7934
201311,7423
201312,6732
201401,6758
201402,6638
201403,7773
201404,7865
201405,8294
201406,8023
201407,8507
201408,8481
201409,7760
201410,8016
201411,7028
201412,6975
201501,7687
201502,6563
201503,8158
201504,7461
201505,7984
201506,7456
201507,8194
201508,7948
201509,7904
201510,8072
201511,7187
201512,6651
201601,6912
201602,6780
201603,7741
201604,7342
201605,7882
201606,7590
201607,7253
201608,7133
201609,7111
201610,6932
201611,6559
201612,6334
201701,7287
201702,7177
201703,7445
201704,7116
201705,7772
201706,7242
201707,7388
201708,7795
201709,7214
201710,6961
201711,6494
201712,6149
201801,6900
201802,6356
201803,7195
201804,6962
201805,7986
201806,7155
